kode_bps,kode_dagri,nama_bps,nama_dagri
3528080,35.28.07,PEGANTENAN,PEGANTENAN
3528090,35.28.12,KADUR,KADUR
3528100,35.28.09,PAKONG,PAKONG
3528110,35.28.10,WARU,WARU
3528130,35.28.13,PASEAN,PASEAN
3529040,35.29.08,GILIGENTENG,GILIGINTING
3529100,35.29.09,GULUK GULUK,GULUK-GULUK
3529220,35.29.22,RAAS,"RA""AS"
3529010,35.29.11,PRAGAAN,PRAGAAN
3529020,35.29.05,BLUTO,BLUTO
3529030,35.29.06,SARONGGI,SARONGGI
3529050,35.29.04,TALANGO,TALANGO
3529060,35.29.02,KALIANGET,KALIANGET
3529070,35.29.01,KOTA SUMENEP,KOTA SUMENEP
3529071,35.29.26,BATUAN,BATUAN
3529080,35.29.07,LENTENG,LENTENG
3529090,35.29.10,GANDING,GANDING
3529110,35.29.13,PASONGSONGAN,PASONGSONGAN
3529120,35.29.12,AMBUNTEN,AMBUNTEN
3529130,35.29.15,RUBARU,RUBARU
3529140,35.29.14,DASUK,DASUK
3529150,35.29.03,MANDING,MANDING
3529160,35.29.17,BATUPUTIH,BATUPUTIH
3529170,35.29.19,GAPURA,GAPURA
3529180,35.29.16,BATANG BATANG,BATANG BATANG
3529190,35.29.18,DUNGKEK,DUNGKEK
3529200,35.29.21,NONGGUNONG,NONGGUNONG
3529210,35.29.20,GAYAM,GAYAM
3529230,35.29.25,SAPEKEN,SAPEKEN
3529240,35.29.24,ARJASA,ARJASA
3529241,35.29.27,KANGAYAN,KANGAYAN
3529250,35.29.23,MASALEMBU,MASALEMBU
3571010,35.71.01,MOJOROTO,MOJOROTO
3571030,35.71.03,PESANTREN,PESANTREN
3571020,35.71.02,KOTA KEDIRI,KOTA
3572010,35.72.02,SUKOREJO,SUKOREJO
3572020,35.72.01,KEPANJENKIDUL,KEPANJENKIDUL
3572030,35.72.03,SANANWETAN,SANANWETAN
3573010,35.73.03,KEDUNGKANDANG,KEDUNGKANDANG
3573020,35.73.04,SUKUN,SUKUN
3573030,35.73.02,KLOJEN,KLOJEN
3573040,35.73.01,BLIMBING,BLIMBING
3573050,35.73.05,LOWOKWARU,LOWOKWARU
3574010,35.74.01,KADEMANGAN,KADEMANGAN
3574011,35.74.05,KEDOPOK,KEDOPOK
3574020,35.74.02,WONOASIH,WONOASIH
3574030,35.74.03,MAYANGAN,MAYANGAN
3574031,35.74.04,KANIGARAN,KANIGARAN
3575030,35.75.03,BUGULKIDUL,BUGUL KIDUL
3575010,35.75.01,GADINGREJO,GADINGREJO
3575020,35.75.02,PURWOREJO,PURWOREJO
3575031,35.75.04,PANGGUNGREJO,PANGGUNGREJO
3576010,35.76.01,PRAJURIT KULON,PRAJURITKULON
3576020,35.76.02,MAGERSARI,MAGERSARI
3576021,35.76.03,KRANGGAN,KRANGGAN
3577010,35.77.02,MANGU HARJO,MANGUHARJO
3577020,35.77.03,TAMAN,TAMAN
3577030,35.77.01,KARTOHARJO,KARTOHARJO
3578010,35.78.01,KARANG PILANG,KARANGPILANG
3578160,35.78.27,SUKO MANUNGGAL,SUKOMANUNGGAL
3578270,35.78.28,ASEMROWO,ASEM ROWO
3578020,35.78.23,JAMBANGAN,JAMBANGAN
3578030,35.78.22,GAYUNGAN,GAYUNGAN
3578040,35.78.02,WONOCOLO,WONOCOLO
