kode_bps,kode_dagri,nama_bps,nama_dagri
1103050004,11.01.08.2002,HILIR,HILIR
1103050005,11.01.08.2007,PASAR,PASAR
1103050006,11.01.08.2003,PADANG,PADANG
1103050007,11.01.08.2006,TEPI AIR,TEPI AIR
1103050008,11.01.08.2004,HULU,HULU
1103050009,11.01.08.2005,JAMBO APHA,JAMBO APHA
1103050010,11.01.08.2008,LHOK BENGKUANG,LHOK BENGKUANG
1103050011,11.01.08.2012,BATU ITAM,BATU ITAM
1103050012,11.01.08.2013,PANJUPIAN,PANJUPIAN
1103050013,11.01.08.2014,LHOK RUKAM,LHOK RUKAM
1103050014,11.01.08.2015,AIR PINANG,AIR PINANG
1103050015,11.01.08.2009,PANTON LUAS,PANTON LUAS
1103050016,11.01.08.2016,LHOK BENGKUANG TIMUR,LHOK BENGKUANG TIMUR
1103050002,11.01.08.2011,AIR BERUDANG,AIR BERUNDANG
1103050003,11.01.08.2001,LHOK KETAPANG,LHOK KEUTAPANG
1103060001,11.01.06.2013,UJUNG TANAH,UJUNG TANAH
1103060002,11.01.06.2020,PAYONAN GADANG,PAYONAN GADANG
1103060003,11.01.06.2017,LUBUK LAYU,LUBUK LAYU
1103060004,11.01.06.2018,SUAQ HULU,SUAQ HULU
1103060005,11.01.06.2016,LUAR,LUAR
1103060006,11.01.06.2014,UJUNG KAMPUNG,UJUNG KAMPUNG
1103060007,11.01.06.2019,TAMPANG,TAMPANG
1103060008,11.01.06.2015,JILATANG,JILATANG
1103060009,11.01.06.2025,AIR SIALANG HULU,AIR SIALANG HULU
1103060010,11.01.06.2026,AIR SIALANG TENGAH,AIR SIALANG TENGAH
1103060012,11.01.06.2002,SUBARANG,SUBARANG
1103060013,11.01.06.2004,GUNUNG KETEK,GUNUNG KETEK
1103060015,11.01.06.2006,MADAT,MADAT
1103060016,11.01.06.2001,DALAM,DALAM
1103060017,11.01.06.2008,TENGAH,TENGAH
1103060018,11.01.06.2027,BALAI,BALAI
1103060019,11.01.06.2022,BARU,BARU
1103060020,11.01.06.2021,GADANG,GADANG
1103060021,11.01.06.2023,LADANG KASIK PUTIH,LADANG KASIK PUTIH
1103060022,11.01.06.2005,LADANG PANTON LUAS,LADANG PANTON LUAS
1103060024,11.01.06.2010,ALUR PINANG,ALUR PINANG
1103060025,11.01.06.2009,GUNUNG CUT,GUNUNG CUT
1103060026,11.01.06.2011,KUTA BLANG,KUTA BLANG
