kode_1961,nama_1961,kode_1971,nama_1971,kode_1980,nama_1980,kode_1990,nama_1990,kode_2000,nama_2000,kode_20102,nama_20102,kode_20111,nama_20111,kode_20112,nama_20112,kode_20121,nama_20121,kode_20122,nama_20122,kode_20131,nama_20131,kode_20132,nama_20132,kode_20141,nama_20141,kode_20142,nama_20142,kode_20151,nama_20151,kode_20152,nama_20152,kode_20161,nama_20161,kode_20162,nama_20162,kode_20171,nama_20171,kode_20172,nama_20172,kode_20181,nama_20181
2202,IRIAN BARAT,2607,MANOKWARI,2607,MANOKWARI,8207,MANOKWARI,9110,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9111,MANOKWARI SELATAN,9111,MANOKWARI SELATAN,9111,MANOKWARI SELATAN,9111,MANOKWARI SELATAN,9111,MANOKWARI SELATAN,9111,MANOKWARI SELATAN,9111,MANOKWARI SELATAN,9111,MANOKWARI SELATAN,9111,MANOKWARI SELATAN,9111,MANOKWARI SELATAN
2202,IRIAN BARAT,2607,MANOKWARI,2607,MANOKWARI,8207,MANOKWARI,9110,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9112,PEGUNUNGAN ARFAK,9112,PEGUNUNGAN ARFAK,9112,PEGUNUNGAN ARFAK,9112,PEGUNUNGAN ARFAK,9112,PEGUNUNGAN ARFAK,9112,PEGUNUNGAN ARFAK,9112,PEGUNUNGAN ARFAK,9112,PEGUNUNGAN ARFAK,9112,PEGUNUNGAN ARFAK,9112,PEGUNUNGAN ARFAK
2202,IRIAN BARAT,2606,SORONG,2606,SORONG,8206,SORONG,9172,KOTA SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG,9171,SORONG
2102,MALUKU UTARA,2504,MALUKU UTARA,2504,MALUKU UTARA,8103,MALUKU UTARA,8203,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT,8201,HALMAHERA BARAT
2105,TIDORE,2503,HALMAHERA TENGAH,2503,HALMAHERA TENGAH,8104,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8202,HALMAHERA TENGAH
2102,MALUKU UTARA,2504,MALUKU UTARA,2504,MALUKU UTARA,8103,MALUKU UTARA,8201,MALUKU UTARA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA,8203,KEPULAUAN SULA
2102,MALUKU UTARA,2504,MALUKU UTARA,2504,MALUKU UTARA,8103,MALUKU UTARA,8201,MALUKU UTARA,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN,8204,HALMAHERA SELATAN
2102,MALUKU UTARA,2504,MALUKU UTARA,2504,MALUKU UTARA,8103,MALUKU UTARA,8201,MALUKU UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA,8205,HALMAHERA UTARA
2105,TIDORE,2503,HALMAHERA TENGAH,2503,HALMAHERA TENGAH,8104,HALMAHERA TENGAH,8202,HALMAHERA TENGAH,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR,8206,HALMAHERA TIMUR
2102,MALUKU UTARA,2504,MALUKU UTARA,2504,MALUKU UTARA,8103,MALUKU UTARA,8201,MALUKU UTARA,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI,8207,PULAU MOROTAI
